A,B,C,D,E
RFSD00829,4037801207,19762216,1,Running
RFSD00831,4037828733,19762218,1,Running
RFSD00832,4038079727,19762219,1,Running
RFSD00833,4038087579,19762220,1,Running
RFSD00834,4038087368,19762221,1,Running
RFSD00835,4037808318,19762222,1,Running
RFSD00836,4038087359,19762223,1,Running
RFSD00837,4037808266,19762224,1,Running
RFSD00838,4037801177,19762225,1,Running
RFSD00839,4037828749,19762226,1,Running
RFSD00840,4037828845,19762227,1,Running
RFSD00841,4038087582,19762228,1,Running
RFSD00843,4038087589,19762230,1,Running
RFSD00844,4037828844,19762231,1,Running
RFSD00845,4037801190,19762232,1,Running
RFSD00846,4038079732,19762233,1,Running
RFSD00847,4037801203,19762234,1,Running
RFSD00848,4037801174,19762235,1,Running
RFSD00850,4038087273,19762237,1,Running
RFSD00851,4038087239,19762238,1,Running
RFSD00852,4038087590,19762239,1,Running
RFSD00853,4038087363,19762240,1,Running
RFSD00854,4038087250,19762241,1,Running
RFSD00855,4038087262,19762242,1,Running
RFSD00856,4038087248,19762243,1,Running
RFSD00857,4038087236,19762244,1,Running
RFSD00858,4038087242,19762245,1,Running
RFSD00860,4038065527,19762247,1,Running
RFSD00861,4038087305,19762248,1,Running
RFSD00862,4038087028,19762249,1,Running
RFSD00863,4038087253,19762250,1,Running
RFSD00864,4038087264,19762251,1,Running
RFSD00865,4038087280,19762252,1,Running
RFSD00866,4038087255,19762253,1,Running
RFSD00867,4038087033,19762254,1,Running
RFSD00869,4038087265,19762256,1,Running
RFSD00870,4038087278,19762257,1,Running
RFSD00871,4038087281,19762258,1,Running
RFSD00872,4038065625,19762259,1,Running
RFSD00873,4038087272,19762260,1,Running
RFSD00874,4038087258,19762261,1,Running
RFSD00875,4038087274,19762262,1,Running
RFSD00876,4038087254,19762263,1,Running
RFSD00877,4038087271,19762264,1,Running
RFSD00878,4038087247,19762265,1,Running
RFSD00880,4038102835,19762313,1,Running
RFSD00881,4038102836,19762314,1,Running
RFSD00883,4038102776,19762316,1,Running
RFSD00884,4038102621,19762317,1,Running
RFSD00885,4038102623,19762318,1,Running
RFSD00886,4038102825,19762319,1,Running
RFSD00887,4038102633,19762320,1,Running
RFSD00888,4038102816,19762321,1,Running
RFSD00889,4038102820,19762322,1,Running
RFSD00890,4038102592,19762323,1,Running
RFSD00891,4038102483,19762324,1,Running
RFSD00893,4038102479,19762326,1,Running
RFSD00894,4038102517,19762327,1,Running
RFSD00896,4038102608,19762329,1,Running
RFSD00897,4038102822,19762330,1,Running
RFSD00898,4038102847,19762331,1,Running
RFSD00899,4038102512,19762332,1,Running
RFSD00900,4038102475,19762333,1,Running
RFSD00901,4038102818,19762334,1,Running
RFSD00902,4038102837,19762335,1,Running
RFSD00903,4038103008,19762336,1,Running
RFSD00904,4038102840,19762337,1,Running
RFSD00906,4038102570,19762339,1,Running
RFSD00907,4038102852,19762340,1,Running
RFSD00908,4038102600,19762341,1,Running
RFSD00909,4038102628,19762342,1,Running
RFSD00910,4038102607,19762343,1,Running
RFSD00912,4038102775,19762345,1,Running
RFSD00913,4038102564,19762346,1,Running
RFSD00914,4038102476,19762347,1,Running
RFSD00915,4038102492,19762348,1,Running
RFSD00917,4038102844,19762350,1,Running
RFSD00918,4038103028,19762351,1,Running
RFSD00919,4038103034,19762352,1,Running
RFSD00921,4038102619,19762354,1,Running
RFSD00922,4038102908,19762355,1,Running
RFSD00924,4038102487,19762357,1,Running
RFSD00925,4038102513,19762358,1,Running
RFSD00927,4038103088,19762360,1,Running
RFSD00928,4038102815,19762361,1,Running
RFSD00929,4038102629,19762362,1,Running
RFSD00930,4038103004,19762363,1,Running
RFSD00931,4038103000,19762364,1,Running
RFSD00932,4038107312,19762365,1,Running
RFSD00933,4038102593,19762366,1,Running
RFSD00934,4038103093,19762367,1,Running
RFSD00935,4038102948,19762368,1,Running
RFSD00936,4038102598,19762369,1,Running
RFSD00938,4038102806,19762371,1,Running
RFSD00939,4038103022,19762372,1,Running
RFSD00940,4038102474,19762373,1,Running
RFSD00941,4038102819,19762374,1,Running
RFSD00942,4038103061,19762375,1,Running
RFSD00943,4038102821,19762376,1,Running
RFSD00944,4038102482,19762377,1,Running
RFSD00946,4038102824,19762379,1,Running
RFSD00947,4038103014,19762380,1,Running
RFSD00948,4038102799,19762381,1,Running
RFSD00949,4038102604,19762382,1,Running
RFSD00950,4038103098,19762383,1,Running
RFSD00951,4038103031,19762384,1,Running
RFSD00953,4038102636,19762386,1,Running
RFSD00954,4038103091,19762387,1,Running
RFSD00955,4038102979,19762388,1,Running
RFSD00956,4038103096,19762389,1,Running
RFSD00958,4038103003,19762391,1,Running
RFSD00959,4038102892,19762392,1,Running
RFSD00960,4038102567,19762393,1,Running
RFSD00961,4038103011,19762394,1,Running
RFSD00962,4038102839,19762395,1,Running
RFSD00963,4038103029,19762396,1,Running
RFSD00964,4038103094,19762397,1,Running
RFSD00965,4038102887,19762398,1,Running
RFSD00966,4038102911,19762399,1,Running
RFSD00967,4038101724,19762400,1,Running
RFSD00968,4038102523,19762401,1,Running
RFSD00969,4038102976,19762402,1,Running
RFSD00970,4038103101,19762403,1,Running
RFSD00971,4038102951,19762404,1,Running
RFSD00973,4038103027,19762406,1,Running
RFSD00976,4038103089,19762409,1,Running
RFSD00977,4038102990,19762410,1,Running
RFSD00978,4038103018,19762411,1,Running
RFSD00980,4038102790,19762413,1,Running
RFSD00981,4038103035,19762414,1,Running
RFSD00982,4038102831,19762415,1,Running
RFSD00983,4038102676,19762416,1,Running
RFSD00984,4038102833,19762417,1,Running
RFSD00985,4038103077,19762418,1,Running
RFSD00988,4038103099,19762421,1,Running
RFSD00989,4038103020,19762422,1,Running
RFSD00990,4038102678,19762423,1,Running
RFSD00991,4038102890,19762424,1,Running
RFSD00992,4038103043,19762425,1,Running
RFSD00993,4038103049,19762426,1,Running
RFSD00994,4038103030,19762427,1,Running
RFSD00995,4038102994,19762428,1,Running
RFSD00996,4038103059,19762429,1,Running
RFSD00997,4038103012,19762430,1,Running
RFSD00998,4038102687,19762431,1,Running
RFSD00999,4038103017,19762432,1,Running
RFSD01000,4038103033,19762433,1,Running
RFSD01001,4038102973,19762434,1,Running
RFSD01003,4038102966,19762436,1,Running
RFSD01005,4038102694,19762438,1,Running
RFSD01006,4038103095,19762439,1,Running
RFSD01007,4038102999,19762440,1,Running
RFSD01008,4038103021,19762441,1,Running
RFSD01009,4038103036,19762442,1,Running
RFSD01010,4038102698,19762443,1,Running
RFSD01011,4038102986,19762444,1,Running
RFSD01012,4038102993,19762445,1,Running
RFSD01014,4038102644,19762447,1,Running
RFSD01015,4038102985,19762448,1,Running
RFSD01018,4038102956,19762451,1,Running
RFSD01019,4038102989,19762452,1,Running
RFSD01020,4038103081,19762453,1,Running
RFSD01022,4038102978,19762455,1,Running
RFSD01023,4038101710,19762456,1,Running
RFSD01024,4038102988,19762457,1,Running
RFSD01025,4038102721,19762458,1,Running
RFSD01026,4038102686,19762459,1,Running
RFSD01030,4038102928,19762463,1,Running
RFSD01031,4038102684,19762464,1,Running
RFSD01032,4038102937,19762465,1,Running
RFSD01034,4038102675,19762467,1,Running
RFSD01035,4038102741,19762468,1,Running
RFSD01036,4038102661,19762469,1,Running
RFSD01037,4038103002,19762470,1,Running
RFSD01038,4038102724,19762471,1,Running
RFSD01039,4038102730,19762472,1,Running
RFSD01042,4038103013,19762475,1,Running
RFSD01043,4038102666,19762476,1,Running
RFSD01044,4038102677,19762477,1,Running
RFSD01045,4038102947,19762478,1,Running
RFSD01046,4038102597,19762479,1,Running
RFSD01048,4038102681,19762481,1,Running
RFSD01049,4038102672,19762482,1,Running
RFSD01050,4038102740,19762483,1,Running
RFSD01052,4038102905,19762485,1,Running
RFSD01053,4038102654,19762486,1,Running
RFSD01054,4038101719,19762487,1,Running
RFSD01055,4038102707,19762488,1,Running
RFSD01056,4038103019,19762489,1,Running
RFSD01057,4038102247,19762490,1,Running
RFSD01059,4038102635,19762492,1,Running
RFSD01060,4038102670,19762493,1,Running
RFSD01062,4038102673,19762495,1,Running
RFSD01063,4038102718,19762496,1,Running
RFSD01064,4038102547,19762497,1,Running
RFSD01065,4038102739,19762498,1,Running
RFSD01066,4038102667,19762499,1,Running
RFSD01067,4038101696,19762500,1,Running
RFSD01068,4038102940,19762501,1,Running
RFSD01069,4038102728,19762502,1,Running
RFSD01070,4038101714,19762503,1,Running
RFSD01071,4038102983,19762504,1,Running
RFSD01072,4038101681,19762505,1,Running
RFSD01073,4038102252,19762506,1,Running
RFSD01074,4038102648,19762507,1,Running
RFSD01075,4038102602,19762508,1,Running
RFSD01076,4038101720,19762509,1,Running
RFSD01078,4038102311,19762511,1,Running
RFSD01079,4038102991,19762512,1,Running
RFSD01080,4038101722,19762513,1,Running
RFSD01081,4038101692,19762514,1,Running
RFSD01084,4046713251,19776579,1,Running
