"Meter","Serial Number","Status","Address","City","Cycle","Collector","Service Latitude","Service Longitude","Module FW","Meter FW","Layer","LAst Billable","Hardware Model ID","DCW","Last Path"
"168050674","4029533935","Normal","1506 PATOUTVILLE RD","JEANERETTE","11","Patoutville",29.929263,-91.719623,"251284-09.18","05.37",1,08-APR-19,65563,"2001.09.15","2155077952,4029533935"
"168021461","4029515145","Normal","109 LAKELAND DR","PINEVILLE","04","PGOMW",31.34987,-92.391097,"251284-09.18","05.37",8,05-APR-19,65563,"2001.09.15","2155038361,2155074030,2155073874,4029514791,4029505732,4029513846,4032016238,4029517153,4029506154,4029506101,4032016483,4029505716,4029515145"
"168031108","1343056475","Normal","272 VANDENBURG DR","ALEXANDRIA","07","ENGLAND AIRPARK",31.29868,-92.52849,"251581-08.08","05.34",2,09-JUN-15,65562,"1F0D.08.06","2155078105,2155073727,1343056475"
"168018616","4029516058","Normal","7036 LEGACY LOOP","PINEVILLE","4","ESLER FIELD",31.35251,-92.37172,"251284-09.18","05.37",4,03-APR-19,65563,"2001.09.15","2155077935,2155059228,2155074009,2155073809,4042121371,4029516058"
"168021806","4029514448","Normal","1513 PERIWINKLE CT","MADISONVILLE","02","GALATAS RD",30.43718,-90.18966,"251284-09.18","05.37",5,25-MAR-19,65563,"2001.09.15","2155077973,2155082247,2155836915,4036745316,4029514448"
"168022868","4029512409","Normal","205 GLEN ELLEN","PINEVILLE","01","PGOMW",31.344333,-92.410513,"251284-09.18","05.37",2,09-MAR-19,65563,"2001.09.15","2155038302,4030243566,4029512409"
"168017052","4029512635","Normal","1416 JEANNIE ST","PINEVILLE","01","PGOMW",31.34005,-92.414693,"251284-09.18","05.37",1,02-MAR-19,65563,"2001.09.15","2155038304,4029512635"
"168019787","4029512912","Normal","108 WOODALE DR LOT A","PINEVILLE","04","ESLER FIELD",31.346035,-92.38231,"251284-09.18","05.37",6,19-NOV-18,65563,"2001.09.15","2155077941,2155073955,4029506109,4029519518,4029502796,4029512912"
"168061052","4029589645","Normal","507 W OAK ST","BUNKIE","01","BU06 -- BUSC MW",30.953958,-92.189208,"251284-09.18","05.37",1,13-MAR-19,65563,"2001.09.15","2155073524,4029725138,4029589645"
"168059798","4029586771","Normal","301 DRY PRONG CREEK RD 1","DRY PRONG","10","POLLOCK GAP",31.601058,-92.500573,"251284-09.18","05.37",11,08-APR-19,65563,"2001.09.15","2155048891,2155059222,4028898270,2155059266,2155281338,2155073848,2155073588,2155073948,2155073791,2155073709,4029588930,2155075278,4029528473,4029586771"
"168062670","4029533340","Normal","243 GUNTER RD SHOP","PINEVILLE","15","ESLER FIELD",31.349687,-92.297468,"251284-09.18","05.37",2,09-MAR-19,65563,"2001.09.15","2155077935,2155073895,2155837698,4029533340"
"168059743","4029586882","Lost","265 CROSS BAYOU CP","PINEVILLE","14","RAW LAND 69 GAP",31.401605,-92.006117,"251284-09.18","05.37",1,01-MAR-19,65563,"2001.09.15","2155070491,4029586882"
